type,notch,searge,mcp
class,a,net/minecraft/util/text/TextFormatting,-
class,b,net/minecraft/crash/CrashReport,-
class,b$1,net/minecraft/crash/CrashReport$1,-
class,b$2,net/minecraft/crash/CrashReport$2,-
class,b$3,net/minecraft/crash/CrashReport$3,-
class,b$4,net/minecraft/crash/CrashReport$4,-
class,b$5,net/minecraft/crash/CrashReport$5,-
class,b$6,net/minecraft/crash/CrashReport$6,-
class,b$7,net/minecraft/crash/CrashReport$7,-
class,c,net/minecraft/crash/CrashReportCategory,-
class,c$1,net/minecraft/crash/CrashReportCategory$1,-
class,c$2,net/minecraft/crash/CrashReportCategory$2,-
class,c$3,net/minecraft/crash/CrashReportCategory$3,-
class,c$6,net/minecraft/crash/CrashReportCategory$6,-
class,c$7,net/minecraft/crash/CrashReportCategory$7,-
class,c$a,net/minecraft/crash/CrashReportCategory$Entry,-
class,d,net/minecraft/crash/ICrashReportDetail,-
class,f,net/minecraft/util/ReportedException,-
class,g,net/minecraft/util/ChatAllowedCharacters,-
class,h,net/minecraft/util/Util,-
class,h$a,net/minecraft/util/Util$EnumOS,-
class,i,net/minecraft/advancements/Advancement,-
class,i$a,net/minecraft/advancements/Advancement$Builder,-
class,j,net/minecraft/advancements/AdvancementList,-
class,j$a,net/minecraft/advancements/AdvancementList$Listener,-
class,k,net/minecraft/advancements/AdvancementProgress,-
class,k$a,net/minecraft/advancements/AdvancementProgress$Serializer,-
class,l,net/minecraft/advancements/AdvancementRewards,-
class,l$1,net/minecraft/advancements/AdvancementRewards$1,-
class,l$a,net/minecraft/advancements/AdvancementRewards$Deserializer,-
class,m,net/minecraft/advancements/CriteriaTriggers,-
class,n,net/minecraft/advancements/Criterion,-
class,o,net/minecraft/advancements/CriterionProgress,-
class,p,net/minecraft/advancements/ICriterionTrigger,-
class,p$a,net/minecraft/advancements/ICriterionTrigger$Listener,-
class,q,net/minecraft/advancements/ICriterionInstance,-
class,r,net/minecraft/advancements/DisplayInfo,-
class,s,net/minecraft/advancements/FrameType,-
class,t,net/minecraft/advancements/AdvancementTreeNode,-
class,u,net/minecraft/advancements/critereon/AbstractCriterionInstance,-
class,v,net/minecraft/advancements/critereon/BredAnimalsTrigger,-
class,v$a,net/minecraft/advancements/critereon/BredAnimalsTrigger$Listeners,-
class,v$b,net/minecraft/advancements/critereon/BredAnimalsTrigger$Instance,-
class,w,net/minecraft/advancements/critereon/BrewedPotionTrigger,-
class,w$a,net/minecraft/advancements/critereon/BrewedPotionTrigger$Listeners,-
class,w$b,net/minecraft/advancements/critereon/BrewedPotionTrigger$Instance,-
class,x,net/minecraft/advancements/critereon/ChangeDimensionTrigger,-
class,x$a,net/minecraft/advancements/critereon/ChangeDimensionTrigger$Listeners,-
class,x$b,net/minecraft/advancements/critereon/ChangeDimensionTrigger$Instance,-
class,y,net/minecraft/advancements/critereon/ConstructBeaconTrigger,-
class,y$a,net/minecraft/advancements/critereon/ConstructBeaconTrigger$Listeners,-
class,y$b,net/minecraft/advancements/critereon/ConstructBeaconTrigger$Instance,-
class,z,net/minecraft/advancements/critereon/ConsumeItemTrigger,-
class,z$a,net/minecraft/advancements/critereon/ConsumeItemTrigger$Listeners,-
class,z$b,net/minecraft/advancements/critereon/ConsumeItemTrigger$Instance,-
class,aa,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger,-
class,aa$a,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$Listeners,-
class,aa$b,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$Instance,-
class,ab,net/minecraft/advancements/critereon/DamagePredicate,-
class,ac,net/minecraft/advancements/critereon/DamageSourcePredicate,-
class,ad,net/minecraft/advancements/critereon/DistancePredicate,-
class,ae,net/minecraft/advancements/critereon/EffectsChangedTrigger,-
class,ae$a,net/minecraft/advancements/critereon/EffectsChangedTrigger$Listeners,-
class,ae$b,net/minecraft/advancements/critereon/EffectsChangedTrigger$Instance,-
class,af,net/minecraft/advancements/critereon/EnchantedItemTrigger,-
class,af$a,net/minecraft/advancements/critereon/EnchantedItemTrigger$Listeners,-
class,af$b,net/minecraft/advancements/critereon/EnchantedItemTrigger$Instance,-
class,ag,net/minecraft/advancements/critereon/EnchantmentPredicate,-
class,ah,net/minecraft/advancements/critereon/EnterBlockTrigger,-
class,ah$a,net/minecraft/advancements/critereon/EnterBlockTrigger$Listeners,-
class,ah$b,net/minecraft/advancements/critereon/EnterBlockTrigger$Instance,-
class,ai,net/minecraft/advancements/critereon/EntityHurtPlayerTrigger,-
class,ai$a,net/minecraft/advancements/critereon/EntityHurtPlayerTrigger$Listeners,-
class,ai$b,net/minecraft/advancements/critereon/EntityHurtPlayerTrigger$Instance,-
class,aj,net/minecraft/advancements/critereon/EntityPredicate,-
class,ak,net/minecraft/advancements/critereon/ImpossibleTrigger,-
class,ak$a,net/minecraft/advancements/critereon/ImpossibleTrigger$Instance,-
class,al,net/minecraft/advancements/critereon/InventoryChangeTrigger,-
class,al$a,net/minecraft/advancements/critereon/InventoryChangeTrigger$Listeners,-
class,al$b,net/minecraft/advancements/critereon/InventoryChangeTrigger$Instance,-
class,am,net/minecraft/advancements/critereon/ItemDurabilityTrigger,-
class,am$a,net/minecraft/advancements/critereon/ItemDurabilityTrigger$Listeners,-
class,am$b,net/minecraft/advancements/critereon/ItemDurabilityTrigger$Instance,-
class,an,net/minecraft/advancements/critereon/ItemPredicate,-
class,ao,net/minecraft/advancements/critereon/KilledTrigger,-
class,ao$a,net/minecraft/advancements/critereon/KilledTrigger$Listeners,-
class,ao$b,net/minecraft/advancements/critereon/KilledTrigger$Instance,-
class,ap,net/minecraft/advancements/critereon/LevitationTrigger,-
class,ap$a,net/minecraft/advancements/critereon/LevitationTrigger$Listeners,-
class,ap$b,net/minecraft/advancements/critereon/LevitationTrigger$Instance,-
class,aq,net/minecraft/advancements/critereon/LocationPredicate,-
